S.no,File,Input Size,Time Taken
1,mpi_mXv.exe,8192,0.275394
2,mpi_mXv.exe,8192,0.32404
3,mpi_mXv.exe,8192,0.274494
4,mpi_mXv.exe,8192,0.270759
5,mpi_mXv.exe,8192,0.279582
6,mpi_mXv.exe,8192,0.268125
7,mpi_mXv.exe,8192,0.273678
8,mpi_mXv.exe,8192,0.269825
9,mpi_mXv.exe,8192,0.262391
10,mpi_mXv.exe,8192,0.260977
1,mpi_mXv.exe,16384,0.880064
2,mpi_mXv.exe,16384,0.72585
3,mpi_mXv.exe,16384,0.723334
4,mpi_mXv.exe,16384,0.72267
5,mpi_mXv.exe,16384,0.720117
6,mpi_mXv.exe,16384,0.719103
7,mpi_mXv.exe,16384,0.716354
8,mpi_mXv.exe,16384,0.720644
9,mpi_mXv.exe,16384,0.71313
10,mpi_mXv.exe,16384,0.716536
1,mpi_mXv.exe,32768,14.602311
2,mpi_mXv.exe,32768,9.981804
3,mpi_mXv.exe,32768,9.21988
4,mpi_mXv.exe,32768,9.512987
5,mpi_mXv.exe,32768,8.824982
6,mpi_mXv.exe,32768,7.190265
7,mpi_mXv.exe,32768,6.954085
8,mpi_mXv.exe,32768,7.975283
9,mpi_mXv.exe,32768,8.046989
10,mpi_mXv.exe,32768,8.850054
1,omp_tiled_mXv.exe,64,0.001
2,omp_tiled_mXv.exe,64,0.001
3,omp_tiled_mXv.exe,64,0.002
4,omp_tiled_mXv.exe,64,0.001
5,omp_tiled_mXv.exe,64,0.002
6,omp_tiled_mXv.exe,64,0.001
7,omp_tiled_mXv.exe,64,0.002
8,omp_tiled_mXv.exe,64,0.003
9,omp_tiled_mXv.exe,64,0.002
10,omp_tiled_mXv.exe,64,0.001
1,omp_tiled_mXv.exe,128,0.001
2,omp_tiled_mXv.exe,128,0.003
3,omp_tiled_mXv.exe,128,0.001
4,omp_tiled_mXv.exe,128,0.001
5,omp_tiled_mXv.exe,128,0.002
6,omp_tiled_mXv.exe,128,0.001
7,omp_tiled_mXv.exe,128,0.002
8,omp_tiled_mXv.exe,128,0.002
9,omp_tiled_mXv.exe,128,0.001
10,omp_tiled_mXv.exe,128,0.001
1,omp_tiled_mXv.exe,256,0.001
2,omp_tiled_mXv.exe,256,0.001
3,omp_tiled_mXv.exe,256,0.002
4,omp_tiled_mXv.exe,256,0.002
5,omp_tiled_mXv.exe,256,0.001
6,omp_tiled_mXv.exe,256,0.001
7,omp_tiled_mXv.exe,256,0.002
8,omp_tiled_mXv.exe,256,0.002
9,omp_tiled_mXv.exe,256,0.001
10,omp_tiled_mXv.exe,256,0.002
1,omp_tiled_mXv.exe,512,0.002
2,omp_tiled_mXv.exe,512,0.001
3,omp_tiled_mXv.exe,512,0.001
4,omp_tiled_mXv.exe,512,0.001
5,omp_tiled_mXv.exe,512,0.002
6,omp_tiled_mXv.exe,512,0.002
7,omp_tiled_mXv.exe,512,0.002
8,omp_tiled_mXv.exe,512,0.001
9,omp_tiled_mXv.exe,512,0.002
10,omp_tiled_mXv.exe,512,0.002
1,omp_tiled_mXv.exe,1024,0.002
2,omp_tiled_mXv.exe,1024,0.003
3,omp_tiled_mXv.exe,1024,0.003
4,omp_tiled_mXv.exe,1024,0.002
5,omp_tiled_mXv.exe,1024,0.002
6,omp_tiled_mXv.exe,1024,0.002
7,omp_tiled_mXv.exe,1024,0.002
8,omp_tiled_mXv.exe,1024,0.002
9,omp_tiled_mXv.exe,1024,0.002
10,omp_tiled_mXv.exe,1024,0.003
1,omp_tiled_mXv.exe,2048,0.005
2,omp_tiled_mXv.exe,2048,0.006
3,omp_tiled_mXv.exe,2048,0.004
4,omp_tiled_mXv.exe,2048,0.007
5,omp_tiled_mXv.exe,2048,0.005
6,omp_tiled_mXv.exe,2048,0.005
7,omp_tiled_mXv.exe,2048,0.007
8,omp_tiled_mXv.exe,2048,0.006
9,omp_tiled_mXv.exe,2048,0.004
10,omp_tiled_mXv.exe,2048,0.005
1,omp_tiled_mXv.exe,4096,0.013
2,omp_tiled_mXv.exe,4096,0.014
3,omp_tiled_mXv.exe,4096,0.013
4,omp_tiled_mXv.exe,4096,0.019
5,omp_tiled_mXv.exe,4096,0.014
6,omp_tiled_mXv.exe,4096,0.016
7,omp_tiled_mXv.exe,4096,0.014
8,omp_tiled_mXv.exe,4096,0.013
9,omp_tiled_mXv.exe,4096,0.014
10,omp_tiled_mXv.exe,4096,0.014
1,omp_tiled_mXv.exe,8192,0.047
2,omp_tiled_mXv.exe,8192,0.048
3,omp_tiled_mXv.exe,8192,0.047
4,omp_tiled_mXv.exe,8192,0.049
5,omp_tiled_mXv.exe,8192,0.046
6,omp_tiled_mXv.exe,8192,0.048
7,omp_tiled_mXv.exe,8192,0.047
8,omp_tiled_mXv.exe,8192,0.046
9,omp_tiled_mXv.exe,8192,0.047
10,omp_tiled_mXv.exe,8192,0.046
1,omp_tiled_mXv.exe,16384,0.218
2,omp_tiled_mXv.exe,16384,0.188
3,omp_tiled_mXv.exe,16384,0.187
4,omp_tiled_mXv.exe,16384,0.187
5,omp_tiled_mXv.exe,16384,0.186
6,omp_tiled_mXv.exe,16384,0.198
7,omp_tiled_mXv.exe,16384,0.188
8,omp_tiled_mXv.exe,16384,0.192
9,omp_tiled_mXv.exe,16384,0.192
10,omp_tiled_mXv.exe,16384,0.188
1,omp_tiled_mXv.exe,32768,0.865
2,omp_tiled_mXv.exe,32768,0.868
3,omp_tiled_mXv.exe,32768,0.964
4,omp_tiled_mXv.exe,32768,0.875
5,omp_tiled_mXv.exe,32768,0.874
6,omp_tiled_mXv.exe,32768,0.842
7,omp_tiled_mXv.exe,32768,0.843
8,omp_tiled_mXv.exe,32768,0.892
9,omp_tiled_mXv.exe,32768,0.934
10,omp_tiled_mXv.exe,32768,0.931
1,mpi_tiled_mXv.exe,64,0.000039
2,mpi_tiled_mXv.exe,64,0.000042
3,mpi_tiled_mXv.exe,64,0.000043
4,mpi_tiled_mXv.exe,64,0.000035
5,mpi_tiled_mXv.exe,64,0.000037
6,mpi_tiled_mXv.exe,64,0.000039
7,mpi_tiled_mXv.exe,64,0.000043
8,mpi_tiled_mXv.exe,64,0.000036
9,mpi_tiled_mXv.exe,64,0.000041
10,mpi_tiled_mXv.exe,64,0.000039
1,mpi_tiled_mXv.exe,128,0.000118
2,mpi_tiled_mXv.exe,128,0.000115
3,mpi_tiled_mXv.exe,128,0.000125
4,mpi_tiled_mXv.exe,128,0.000281
5,mpi_tiled_mXv.exe,128,0.000252
6,mpi_tiled_mXv.exe,128,0.000283
7,mpi_tiled_mXv.exe,128,0.000451
8,mpi_tiled_mXv.exe,128,0.000206
9,mpi_tiled_mXv.exe,128,0.000253
10,mpi_tiled_mXv.exe,128,0.000178
1,mpi_tiled_mXv.exe,256,0.000474
2,mpi_tiled_mXv.exe,256,0.000517
3,mpi_tiled_mXv.exe,256,0.000869
4,mpi_tiled_mXv.exe,256,0.000458
5,mpi_tiled_mXv.exe,256,0.00046
6,mpi_tiled_mXv.exe,256,0.00068
7,mpi_tiled_mXv.exe,256,0.000478
8,mpi_tiled_mXv.exe,256,0.000481
9,mpi_tiled_mXv.exe,256,0.000478
10,mpi_tiled_mXv.exe,256,0.000468
1,mpi_tiled_mXv.exe,512,0.001868
2,mpi_tiled_mXv.exe,512,0.001805
3,mpi_tiled_mXv.exe,512,0.00192
4,mpi_tiled_mXv.exe,512,0.001745
5,mpi_tiled_mXv.exe,512,0.002084
